Date,Total Market,Mega Cap,Large Cap,Mid Cap,Small/Mid Cap,Small Cap,Micro Cap,Total Market Australian Hedged,Total Market AUD,Total Market Canadian Hedged,Total Market CAD
2001-07-31,-1.81%,-0.98%,-1.47%,-3.75%,,-3.64%,-3.91%,,,,
2001-08-31,-6.06%,-6.86%,-6.46%,-4.56%,,-3.80%,-3.62%,,,,
2001-09-28,-9.01%,-7.36%,-8.23%,-12.27%,,-13.46%,-12.32%,,,,
2001-10-31,2.65%,1.70%,2.07%,3.84%,,6.07%,6.19%,,,,
2001-11-30,7.71%,7.53%,7.69%,8.44%,,8.04%,6.54%,,,,
2001-12-31,1.83%,0.56%,1.07%,3.46%,,6.06%,7.08%,,,,
2002-01-31,-1.25%,-1.47%,-1.30%,-0.55%,,-1.28%,0.87%,,,,
2002-02-28,-2.07%,-2.12%,-2.02%,-1.52%,,-2.03%,-4.43%,,,,
2002-03-28,4.41%,3.37%,3.87%,6.11%,,7.18%,8.33%,,,,
2002-04-30,-4.96%,-6.72%,-5.83%,-1.95%,,-0.68%,1.52%,,,,
2002-05-31,-1.21%,-0.78%,-0.85%,-1.13%,,-3.20%,-1.64%,,,,
2002-06-28,-7.00%,-7.28%,-7.27%,-7.24%,,-6.27%,-1.76%,,,,
2002-07-31,-8.03%,-6.69%,-7.25%,-9.52%,,-11.68%,-13.08%,,,,
2002-08-30,0.61%,0.67%,0.63%,0.46%,,0.58%,-0.24%,,,,
2002-09-30,-10.09%,-10.96%,-10.64%,-9.23%,,-7.43%,-6.54%,,,,
2002-10-31,7.72%,9.39%,8.64%,5.49%,,3.37%,1.84%,,,,
2002-11-29,6.04%,5.55%,5.66%,6.13%,,8.02%,8.01%,,,,
2002-12-31,-5.54%,-6.20%,-5.81%,-4.07%,,-4.35%,-2.95%,,,,
2003-01-31,-2.51%,-2.70%,-2.53%,-1.81%,,-2.63%,-0.63%,,,,
2003-02-28,-1.69%,-1.61%,-1.53%,-1.20%,,-2.48%,-2.30%,,,,
2003-03-31,1.17%,1.14%,1.13%,1.09%,,1.33%,1.51%,,,,
2003-04-30,8.25%,8.41%,8.07%,6.61%,,9.26%,8.50%,,,,
2003-05-30,6.21%,4.65%,5.40%,8.65%,,10.00%,11.26%,,,,
2003-06-30,1.46%,1.45%,1.25%,0.40%,,1.99%,5.53%,,,,
2003-07-31,2.43%,1.64%,1.86%,2.79%,,4.74%,8.00%,,,,
2003-08-29,2.42%,1.48%,1.94%,3.91%,,4.74%,3.93%,,,,
2003-09-30,-1.12%,-1.08%,-1.17%,-1.54%,,-1.38%,2.16%,,,,
2003-10-31,6.05%,5.28%,5.63%,7.06%,,8.00%,8.32%,,,,
2003-11-28,1.48%,0.65%,1.00%,2.46%,,3.57%,4.18%,,,,
2003-12-31,4.41%,5.25%,4.87%,3.34%,,2.29%,2.76%,,,,
2004-01-30,2.30%,1.82%,1.93%,2.38%,,3.64%,6.53%,,,,
2004-02-27,1.49%,1.26%,1.48%,2.39%,,1.63%,0.81%,,,,
2004-03-31,-1.10%,-1.92%,-1.50%,0.21%,,0.88%,-0.13%,,,,
2004-04-30,-2.05%,-1.04%,-1.48%,-3.23%,,-4.64%,-4.47%,,,,
2004-05-28,1.32%,0.97%,1.24%,2.32%,,2.10%,-0.74%,,,,
2004-06-30,2.00%,1.51%,1.70%,2.46%,,3.61%,2.47%,,,,
2004-07-30,-3.83%,-3.27%,-3.40%,-3.92%,,-5.67%,-6.65%,,,,
2004-08-31,0.28%,0.44%,0.41%,0.31%,,-0.18%,-1.33%,,,,
2004-09-30,1.74%,0.70%,1.25%,3.46%,,4.04%,4.65%,,,,
2004-10-29,1.59%,1.09%,1.44%,2.85%,,2.40%,1.48%,,,,
2004-11-30,4.70%,3.61%,4.06%,5.81%,,7.44%,9.03%,,,,
2004-12-31,3.61%,3.40%,3.53%,4.01%,,3.89%,4.85%,,,,
2005-01-31,-2.64%,-2.49%,-2.49%,-2.48%,,-3.30%,-3.64%,,,,
2005-02-28,2.13%,1.87%,2.14%,3.20%,,2.31%,0.67%,,,,
2005-03-31,-1.78%,-1.86%,-1.66%,-0.91%,,-2.01%,-4.27%,,,,
2005-04-29,-2.30%,-1.48%,-1.82%,-3.16%,,-4.48%,-5.46%,,,,
2005-05-31,3.85%,3.13%,3.44%,4.73%,,6.05%,4.64%,,,,
2005-06-30,0.92%,-0.26%,0.36%,2.83%,,3.49%,4.62%,,,,
2005-07-29,4.23%,3.53%,3.86%,5.19%,,5.88%,6.65%,,,,
2005-08-31,-0.96%,-0.86%,-0.86%,-0.85%,,-1.48%,-1.38%,,,,
2005-09-30,0.76%,0.63%,0.78%,1.34%,,0.63%,0.92%,,,,
2005-10-31,-1.77%,-1.09%,-1.49%,-3.05%,,-3.10%,-3.03%,,,,
2005-11-30,3.97%,3.57%,3.84%,4.92%,,4.78%,3.56%,,,,
2005-12-30,0.08%,-0.30%,0.03%,1.34%,,0.35%,0.38%,,,,
2006-01-31,3.63%,2.22%,2.84%,5.32%,,7.30%,8.48%,,,,
2006-02-28,-0.02%,0.18%,0.01%,-0.67%,,-0.26%,0.37%,,,,
2006-03-31,1.99%,1.22%,1.52%,2.74%,,4.17%,4.60%,,,,
2006-04-28,1.04%,1.20%,1.20%,1.17%,,0.38%,0.07%,,,,
2006-05-31,-3.11%,-2.57%,-2.76%,-3.51%,,-4.61%,-5.62%,,,,
2006-06-30,0.18%,0.28%,0.21%,-0.06%,,0.16%,-0.54%,,,,
2006-07-31,-0.31%,0.85%,0.30%,-2.01%,,-3.25%,-3.56%,,,,
2006-08-31,2.38%,2.43%,2.38%,2.16%,,2.47%,1.87%,,,,
2006-09-29,2.21%,2.66%,2.48%,1.72%,,0.89%,0.53%,,,,
2006-10-31,3.69%,3.27%,3.44%,4.13%,,4.95%,5.45%,,,,
2006-11-30,2.26%,1.69%,2.09%,3.81%,,3.28%,2.42%,,,,
2006-12-29,1.12%,1.59%,1.28%,-0.09%,,0.09%,1.84%,,,,
2007-01-31,1.98%,1.51%,1.87%,3.49%,,2.72%,1.14%,,,,
2007-02-28,-1.60%,-2.33%,-1.91%,-0.07%,,0.11%,-0.75%,,,,
2007-03-30,1.11%,1.17%,1.13%,0.97%,,1.13%,0.40%,,,,
2007-04-30,3.88%,4.27%,4.15%,3.62%,,2.75%,1.26%,,,,
2007-05-31,3.64%,3.39%,3.55%,4.23%,,4.40%,2.48%,,,,
2007-06-29,-1.64%,-1.65%,-1.69%,-1.83%,,-1.55%,-0.48%,,,,
2007-07-31,-3.36%,-2.70%,-2.94%,-3.95%,,-5.46%,-5.98%,,,,
2007-08-31,1.44%,1.82%,1.53%,0.24%,,1.06%,0.38%,,,,
2007-09-28,3.62%,4.01%,3.88%,3.31%,,2.14%,2.57%,,,,
2007-10-31,2.04%,1.98%,1.97%,1.92%,,2.63%,1.37%,,,,
2007-11-30,-4.47%,-3.86%,-4.02%,-4.78%,,-6.62%,-8.78%,,,,
2007-12-31,-0.56%,-0.71%,-0.55%,0.16%,,-0.69%,-0.08%,,,,
2008-01-31,-6.19%,-6.03%,-6.13%,-6.57%,,-6.42%,-7.41%,,,,
2008-02-29,-2.77%,-2.88%,-2.76%,-2.20%,,-2.67%,-3.37%,,,,
2008-03-31,-0.67%,-0.41%,-0.62%,-1.62%,,-0.80%,-2.24%,,,,
2008-04-30,4.94%,4.57%,4.95%,6.82%,,5.39%,1.76%,,,,
2008-05-30,2.08%,1.02%,1.57%,4.24%,,5.22%,3.39%,,,,
2008-06-30,-8.13%,-8.13%,-8.15%,-8.25%,,-8.13%,-7.87%,,,,
2008-07-31,-0.74%,-0.61%,-1.07%,-3.28%,,0.82%,2.73%,,,,
2008-08-29,1.55%,1.28%,1.32%,1.52%,,2.94%,1.89%,,,,
2008-09-30,-9.16%,-8.33%,-9.02%,-12.37%,,-10.14%,-8.47%,,,,
2008-10-31,-17.65%,-16.09%,-17.01%,-21.68%,,-21.31%,-20.06%,,,,
2008-11-28,-7.96%,-7.01%,-7.38%,-9.41%,,-11.13%,-12.36%,,,,
2008-12-31,1.84%,0.87%,1.31%,3.75%,,5.26%,3.21%,,,,
2009-01-30,-8.23%,-8.19%,-8.13%,-7.78%,,-8.84%,-8.47%,,,,
2009-02-27,-10.11%,-9.81%,-9.85%,-10.04%,,-11.62%,-11.62%,,,,
2009-03-31,8.79%,8.66%,8.74%,9.15%,,9.09%,8.90%,,,,
2009-04-30,10.58%,8.32%,9.23%,13.83%,,18.41%,15.22%,,,,
2009-05-29,5.33%,5.72%,5.47%,4.27%,,4.19%,8.05%,,,,
2009-06-30,0.29%,0.15%,0.16%,0.23%,,0.49%,4.29%,,,,
2009-07-31,7.71%,7.09%,7.40%,8.88%,,9.49%,8.26%,,,,
